All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   aureus_AP_SP_mix  aureus_BB_SP_mix  bambus2.genome.ctg  SOAP.genome.ctg  aureus_AP_BB_mix  AP.genome.ctg   aureus_AP_BB_SP_mix
# contigs (>= 0 bp)        83                93                109                 183              53                67              80                 
# contigs (>= 1000 bp)     32                36                100                 51               52                58              29                 
Total length (>= 0 bp)     2956929           2861587           2833735             2919280          2835557           2870776         2955644            
Total length (>= 1000 bp)  2940247           2842898           2828214             2883061          2835269           2868733         2938962            
# contigs                  45                51                106                 70               52                59              42                 
Largest contig             518710            542201            158330              518710           234488            234488          518710             
Total length               2950220           2854404           2832623             2897432          2835269           2869581         2948935            
Reference length           2903081           2903081           2903081             2903081          2903081           2903081         2903081            
GC (%)                     32.61             32.58             32.55               32.57            32.66             32.65           32.61              
Reference GC (%)           32.73             32.73             32.73               32.73            32.73             32.73           32.73              
N50                        288184            288184            50192               288184           101091            96740           288184             
NG50                       296366            288184            50192               288184           101091            96740           297046             
N75                        135682            153475            31252               110622           59620             48304           179248             
NG75                       179309            153475            31251               110622           56290             48304           179309             
# misassemblies            26                33                4                   31               5                 3               28                 
# local misassemblies      51                60                50                  56               10                6               54                 
# unaligned contigs        0 + 0 part        0 + 0 part        0 + 0 part          0 + 1 part       0 + 0 part        0 + 0 part      0 + 0 part         
Unaligned contigs length   0                 0                 0                   115              0                 0               0                  
Genome fraction (%)        98.778            97.204            97.394              98.387           96.489            98.827          98.575             
Duplication ratio          1.044             1.025             1.034               1.020            1.027             1.014           1.052              
# N's per 100 kbp          0.68              0.07              0.35                0.07             1.45              1.50            0.68               
# mismatches per 100 kbp   19.84             21.72             1.38                23.35            1.57              1.57            19.92              
# indels per 100 kbp       5.41              8.75              9.02                6.41             3.00              3.87            5.66               
# genes                    2738 + 40 part    2690 + 46 part    2641 + 90 part      2725 + 48 part   2663 + 37 part    2728 + 42 part  2729 + 42 part     
Largest alignment          432463            432569            158329              432463           234488            234488          432463             
NA50                       217394            178770            50192               172569           101091            96740           217395             
NGA50                      217394            178770            50192               172569           101091            96740           217395             
NA75                       93229             93229             31251               85931            54599             48304           110622             
NGA75                      93229             85931             31008               85931            48304             48304           110622             
